Data Retrieved At (VN),Flight Date,Direction,Scheduled Time,Estimated Time,Airport,Flight Number,Status
2026-04-09 23:39:16,2026-04-09,Arrival,07:05,06:57,Hà Nội (HAN),QH101,Đúng giờ
2026-04-09 23:39:16,2026-04-09,Arrival,07:05,06:53,TP. Hồ Chí Minh (SGN),VN106,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,07:15,07:15,Hà Nội (HAN),VN157,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,07:20,07:12,TP. Hồ Chí Minh (SGN),QH150,Đúng giờ
2026-04-09 23:39:16,2026-04-09,Arrival,08:05,08:10,TP. Hồ Chí Minh (SGN),VN110,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,08:15,08:07,Hà Nội (HAN),VN159,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,08:20,08:49,Hà Nội (HAN),9G907,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,08:25,08:45,TP. Hồ Chí Minh (SGN),VJ628,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,08:40,08:42,Buôn Mê Thuột (BMV),VN1910,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,08:50,09:15,Hà Nội (HAN),VJ503,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,08:50,09:21,TP. Hồ Chí Minh (SGN),VJ632,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,09:10,09:12,Hà Nội (HAN),VN163,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,09:20,09:29,TP. Hồ Chí Minh (SGN),VN112,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,09:45,09:35,Hà Nội (HAN),BL6081,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,10:20,11:01,TP. Hồ Chí Minh (SGN),VJ630,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,10:25,10:22,TP. Hồ Chí Minh (SGN),VU672,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,10:25,10:32,TP. Hồ Chí Minh (SGN),VN118,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,11:00,10:54,Hà Nội (HAN),VN165,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,11:20,11:41,TP. Hồ Chí Minh (SGN),VN122,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,11:20,11:07,Phú Quốc (PQC),VJ718,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,11:20,11:35,TP. Hồ Chí Minh (SGN),QH154,Đúng giờ
2026-04-09 23:39:16,2026-04-09,Arrival,12:05,12:49,TP. Hồ Chí Minh (SGN),VJ634,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,12:20,12:29,TP. Hồ Chí Minh (SGN),VN126,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,12:25,12:13,Hà Nội (HAN),VN167,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,12:30,12:41,Hà Nội (HAN),VJ507,Đã đến
